k,time
100,1925
10000100,27366
20000100,53640
30000100,26001
40000100,49047
50000100,56916
60000100,60705
70000100,68217
80000100,75755
90000100,81720
100000100,93408
110000100,96028
120000100,106216
130000100,106180
140000100,112688
150000100,124406
160000100,380986
170000100,139942
180000100,167587
190000100,203898
200000100,167226
210000100,198492
220000100,168862
230000100,180563
240000100,183801
250000100,189245
260000100,195721
270000100,203127
280000100,208033
290000100,214024
300000100,215865
310000100,230294
320000100,234788
330000100,232679
340000100,250770
350000100,261079
360000100,261082
370000100,256512
380000100,261303
390000100,275135
400000100,274776
410000100,282591
420000100,291001
430000100,303898
440000100,319837
450000100,306648
460000100,316726
470000100,332986
480000100,327457
490000100,332120
500000100,347933
510000100,346480
520000100,350797
530000100,359762
540000100,369339
550000100,386379
560000100,376858
570000100,389126
580000100,389396
590000100,395354
600000100,404194
610000100,409180
620000100,415758
630000100,435987
640000100,437849
650000100,438713
660000100,463520
670000100,452055
680000100,497052
690000100,507058
700000100,506755
710000100,506877
720000100,500670
730000100,507727
740000100,591783
750000100,578131
760000100,572673
770000100,698242
780000100,608763
790000100,607571
800000100,578154
810000100,613804
820000100,572390
830000100,586113
840000100,582485
850000100,571142
860000100,590191
870000100,605001
880000100,622344
890000100,676509
900000100,661186
910000100,729383
920000100,2533361
930000100,692942
940000100,696845
950000100,665937
960000100,642685
970000100,676953
980000100,736034
990000100,826970
